Period,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2017-2018,0,0,-1,96.66510852,0,Pocillopora_dead,dead,none
2017-2018,6,6,-1,89.31546756,0,Pocillopora_dead,dead,none
2017-2018,15,16,-1,8.687151198,0,Pocillopora_dead,dead,none
2017-2018,16,17,-1,28.36765895,0,Pocillopora,dead,none
2017-2018,18,19,-1,303.3482101,0,Pocillopora_dead,dead,none
2017-2018,19,20,-1,7.505165408,0,Pocillopora_dead,dead,none
2017-2018,22,23,-1,32.32242343,0,Pocillopora_dead,dead,none
2017-2018,25,26,-1,11.59323656,0,Pocillopora_dead,dead,none
2017-2018,26,27,-1,118.6695959,0,Pocillopora,dead,none
2017-2018,32,33,-1,160.5412203,0,Pocillopora,dead,none
2017-2018,33,34,-1,109.0626286,0,Pocillopora,dead,none
2017-2018,34,35,-1,98.39365165,0,Pocillopora,dead,none
2017-2018,41,42,-1,5.283387608,0,Pocillopora_dead,dead,none
2017-2018,48,49,-1,37.91241638,0,Pocillopora,dead,none
2017-2018,53,55,-1,192.890305,0,Pocillopora,dead,none
2017-2018,57,60,-1,170.3970266,0,Pocillopora,dead,none
2017-2018,65,69,-1,28.63871584,0,Pocillopora,dead,none
2017-2018,58,70,-1,3.092714698,0,Pocillopora_dead,dead,none
2017-2018,67,72,-1,183.1544747,0,Pocillopora,dead,none
2017-2018,69,74,-1,5.358928054,0,Pocillopora_dead,dead,none
2017-2018,58,77,-1,2.550600914,0,Pocillopora_dead,dead,none
2017-2018,74,80,-1,4.81681427,0,Pocillopora,dead,none
2017-2018,84,90,-1,16.6633335,0,Pocillopora_dead,dead,none
2017-2018,91,98,-1,2.901641807,0,Pocillopora,dead,none
2017-2018,95,102,-1,32.59348033,0,Pocillopora,dead,none
2017-2018,97,104,-1,18.08527129,0,Pocillopora_dead,dead,none
2017-2018,109,119,-1,30.86049364,0,Pocillopora_dead,dead,none
2017-2018,111,121,-1,4.812370715,0,Pocillopora_dead,dead,none
2017-2018,58,127,-1,22.14223755,0,Pocillopora_dead,dead,none
2017-2018,58,130,-1,34.22870879,0,Pocillopora_dead,dead,none
2017-2018,120,132,-1,25.34604114,0,Pocillopora,dead,none
2017-2018,121,133,-1,102.1751175,0,Pocillopora,dead,none
2017-2018,125,137,-1,118.9406527,0,Pocillopora,dead,none
2017-2018,58,139,-1,2.226221356,0,Pocillopora_dead,dead,none
2017-2018,128,141,-1,3.519296035,0,Pocillopora_dead,dead,none
2017-2018,129,142,-1,17.16101173,0,Pocillopora_dead,dead,none
2017-2018,134,147,-1,80.87715548,0,Pocillopora,dead,none
2017-2018,58,157,-1,5.065653384,0,Pocillopora_dead,dead,none
2017-2018,143,158,-1,3.790352927,0,Pocillopora_dead,dead,none
2017-2018,90,159,-1,7.420737852,0,Pocillopora_dead,dead,none
2017-2018,58,165,-1,54.22470899,0,Pocillopora_dead,dead,none
2017-2018,148,166,-1,28.05661006,0,Pocillopora,dead,none
2017-2018,149,167,-1,23.94187757,0,Pocillopora,dead,none
2017-2018,58,168,-1,6.585349399,0,Pocillopora_dead,dead,none
2017-2018,152,171,-1,1.133106678,0,Pocillopora,dead,none
2017-2018,58,190,-1,6.780865846,0,Pocillopora_dead,dead,none
2017-2018,177,198,-1,15.76129171,0,Pocillopora_dead,dead,none
2017-2018,186,207,-1,17.62758507,0,Pocillopora_dead,dead,none
2017-2018,188,209,-1,114.2349274,0,Pocillopora,dead,none
2017-2018,192,214,-1,164.7759288,0,Pocillopora,dead,none
2017-2018,201,228,-1,0.684307562,0,Pocillopora,dead,none
2017-2018,208,237,-1,24.75060469,0,Pocillopora,dead,none
2017-2018,217,247,-1,89.33768534,0,Pocillopora,dead,none
2017-2018,181,248,-1,22.58659311,0,Pocillopora_dead,dead,none
2017-2018,222,254,-1,61.0988895,0,Pocillopora,dead,none
2017-2018,223,256,-1,5.283387608,0,Pocillopora_dead,dead,none
2017-2018,236,270,-1,102.6239166,0,Pocillopora,dead,none
2017-2018,245,282,-1,8.647159198,0,Pocillopora_dead,dead,none
2017-2018,248,285,-1,70.75029226,0,Pocillopora,dead,none
2017-2018,253,290,-1,4.967895161,0,Pocillopora_dead,dead,none
2017-2018,267,305,-1,2.328423134,0,Pocillopora,dead,none
2017-2018,268,306,-1,102.1884481,0,Acropora,dead,none
2017-2018,289,328,-1,13.93054681,0,Pocillopora_dead,dead,none
2017-2018,289,331,-1,10.60676722,0,Pocillopora_dead,dead,none
2017-2018,289,333,-1,59.14372504,0,Pocillopora_dead,dead,none
2017-2018,299,341,-1,5.101201829,0,Pocillopora_dead,dead,none
2017-2018,300,342,-1,170.1570746,0,Pocillopora,dead,none
2017-2018,301,343,-1,33.766579,0,Pocillopora_dead,dead,none
2017-2018,305,347,-1,102.4239566,0,Pocillopora_dead,dead,none
2017-2018,314,356,-1,57.74400502,0,Pocillopora_dead,dead,none
2017-2018,323,367,-1,21.61345444,0,Pocillopora_dead,dead,none
2017-2018,330,375,-1,13.13515035,0,Pocillopora_dead,dead,none
2017-2018,332,377,-1,27.03459227,0,Pocillopora,dead,none
2017-2018,341,387,-1,93.25690138,0,Pocillopora,dead,none
2017-2018,314,390,-1,14.0816277,0,Pocillopora_dead,dead,none
2017-2018,347,394,-1,0.502121783,0,Pocillopora_dead,dead,none
