Time period,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2017-2018,119,125,-1,23.89879728,0,Pocillopora,dead,none
2017-2018,120,126,-1,1.1310678,0,Pocillopora,dead,none
2017-2018,121,127,-1,7.1634294,0,Pocillopora_dead,dead,none
2017-2018,132,138,-1,12.28206564,0,Pocillopora,dead,none
2017-2018,139,145,-1,6.76866456,0,Pocillopora_dead,dead,none
2017-2018,143,149,-1,15.73293132,0,Pocillopora_dead,dead,none
2017-2018,148,154,-1,17.59586652,0,Pocillopora_dead,dead,none
2017-2018,162,170,-1,89.1769338,0,Pocillopora,dead,none
2017-2018,164,172,-1,22.54595148,0,Pocillopora_dead,dead,none
2017-2018,168,176,-1,60.98895,0,Pocillopora,dead,none
2017-2018,170,178,-1,5.31823644,0,Pocillopora_dead,dead,none
2017-2018,180,189,-1,8.63159976,0,Pocillopora_dead,dead,none
2017-2018,185,194,-1,4.95895608,0,Pocillopora_dead,dead,none
2017-2018,203,212,-1,10.87155756,0,Pocillopora,dead,none
2017-2018,206,215,-1,13.9054806,0,Pocillopora_dead,dead,none
2017-2018,209,218,-1,10.58768172,0,Pocillopora_dead,dead,none
2017-2018,211,220,-1,59.0373036,0,Pocillopora_dead,dead,none
2017-2018,216,225,-1,5.09202288,0,Pocillopora_dead,dead,none
2017-2018,217,226,-1,33.70582044,0,Pocillopora_dead,dead,none
2017-2018,220,229,-1,102.239658,0,Pocillopora_dead,dead,none
2017-2018,224,234,-1,84.35104452,0,Pocillopora_dead,dead,none
2017-2018,231,241,-1,2.13350436,0,Pocillopora,dead,none
2017-2018,233,243,-1,21.57456384,0,Pocillopora_dead,dead,none
2017-2018,236,247,-1,13.11151536,0,Pocillopora_dead,dead,none
2017-2018,237,248,-1,30.30374592,0,Pocillopora,dead,none
2017-2018,224,255,-1,14.03411184,0,Pocillopora_dead,dead,none
2017-2018,244,256,-1,0.50121828,0,Pocillopora_dead,dead,none
2017-2018,249,261,-1,96.2294742,0,Pocillopora,dead,none
2017-2018,256,268,-1,7.2299628,0,Pocillopora_dead,dead,none
